"","conversation_id","ground_truth_move","predicted_move","Technique","exact_match","model"
"1","6000025_Mariana","generic","focus","Zero-shot","FALSE","GPT-3.5"
"2","6000025_Mariana","focus","focus","Zero-shot","TRUE","GPT-3.5"
"3","6000025_Mariana","telling","telling","Zero-shot","TRUE","GPT-3.5"
"4","6000025_Mariana","generic","generic","Zero-shot","TRUE","GPT-3.5"
"5","6000044_Ayisha","generic","focus","Zero-shot","FALSE","GPT-3.5"
"6","6000044_Ayisha","focus","focus","Zero-shot","TRUE","GPT-3.5"
"7","6000044_Ayisha","focus","focus","Zero-shot","TRUE","GPT-3.5"
"8","6000044_Ayisha","telling","telling","Zero-shot","TRUE","GPT-3.5"
"9","6000044_Ayisha","focus","telling","Zero-shot","FALSE","GPT-3.5"
"10","6000044_Ayisha","telling","probing","Zero-shot","FALSE","GPT-3.5"
"11","6000044_Ayisha","telling","telling","Zero-shot","TRUE","GPT-3.5"
"12","6000044_Ayisha","telling","telling","Zero-shot","TRUE","GPT-3.5"
"13","6000044_Ayisha","telling","telling","Zero-shot","TRUE","GPT-3.5"
"14","6000060_Scott","generic","probing","Zero-shot","FALSE","GPT-3.5"
"15","6000060_Scott","focus","probing","Zero-shot","FALSE","GPT-3.5"
"16","6000060_Scott","focus","probing","Zero-shot","FALSE","GPT-3.5"
"17","6000060_Scott","focus","telling","Zero-shot","FALSE","GPT-3.5"
"18","6000054_DeAndre","generic","generic","Zero-shot","TRUE","GPT-3.5"
"19","6000054_DeAndre","generic","probing","Zero-shot","FALSE","GPT-3.5"
"20","6000054_DeAndre","focus","probing","Zero-shot","FALSE","GPT-3.5"
"21","6000054_DeAndre","focus","telling","Zero-shot","FALSE","GPT-3.5"
"22","6000054_DeAndre","focus","telling","Zero-shot","FALSE","GPT-3.5"
"23","6000057_Cody","generic","focus","Zero-shot","FALSE","GPT-3.5"
"24","6000057_Cody","focus","focus","Zero-shot","TRUE","GPT-3.5"
"25","6000057_Cody","focus","focus","Zero-shot","TRUE","GPT-3.5"
"26","6000025_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"27","6000025_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"28","6000025_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"29","6000025_Luca","probing","focus","Zero-shot","FALSE","GPT-3.5"
"30","6000025_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"31","6000025_Luca","generic","generic","Zero-shot","TRUE","GPT-3.5"
"32","6000025_Luca","telling","focus","Zero-shot","FALSE","GPT-3.5"
"33","6000025_Luca","telling","telling","Zero-shot","TRUE","GPT-3.5"
"34","6000025_Luca","telling","telling","Zero-shot","TRUE","GPT-3.5"
"35","6000037_DeAndre","probing","focus","Zero-shot","FALSE","GPT-3.5"
"36","6000037_DeAndre","focus","telling","Zero-shot","FALSE","GPT-3.5"
"37","6000037_DeAndre","generic","probing","Zero-shot","FALSE","GPT-3.5"
"38","6000056_Seth","focus","probing","Zero-shot","FALSE","GPT-3.5"
"39","6000056_Seth","focus","probing","Zero-shot","FALSE","GPT-3.5"
"40","6000056_Seth","focus","telling","Zero-shot","FALSE","GPT-3.5"
"41","6000056_Seth","generic","focus","Zero-shot","FALSE","GPT-3.5"
"42","6000056_Seth","telling","focus","Zero-shot","FALSE","GPT-3.5"
"43","6000056_Seth","focus","focus","Zero-shot","TRUE","GPT-3.5"
"44","6000056_Seth","telling","probing","Zero-shot","FALSE","GPT-3.5"
"45","6000056_Seth","telling","telling","Zero-shot","TRUE","GPT-3.5"
"46","6000069_Lakisha","focus","probing","Zero-shot","FALSE","GPT-3.5"
"47","6000069_Lakisha","telling","probing","Zero-shot","FALSE","GPT-3.5"
"48","6000069_Lakisha","generic","probing","Zero-shot","FALSE","GPT-3.5"
"49","6000069_Lakisha","generic","telling","Zero-shot","FALSE","GPT-3.5"
"50","6000067_Rishi","generic","generic","Zero-shot","TRUE","GPT-3.5"
"51","6000067_Rishi","focus","focus","Zero-shot","TRUE","GPT-3.5"
"52","6000067_Rishi","generic","generic","Zero-shot","TRUE","GPT-3.5"
"53","6000052_Stephanie","generic","generic","Zero-shot","TRUE","GPT-3.5"
"54","6000052_Stephanie","focus","telling","Zero-shot","FALSE","GPT-3.5"
"55","6000052_Stephanie","generic","generic","Zero-shot","TRUE","GPT-3.5"
"56","6000055_Jia","generic","generic","Zero-shot","TRUE","GPT-3.5"
"57","6000055_Jia","focus","probing","Zero-shot","FALSE","GPT-3.5"
"58","6000055_Jia","focus","focus","Zero-shot","TRUE","GPT-3.5"
"59","6000055_Jia","focus","probing","Zero-shot","FALSE","GPT-3.5"
"60","6000055_Jia","focus","telling","Zero-shot","FALSE","GPT-3.5"
"61","6000055_Jia","focus","focus","Zero-shot","TRUE","GPT-3.5"
"62","6000055_Jia","focus","telling","Zero-shot","FALSE","GPT-3.5"
"63","6000055_Jia","telling","telling","Zero-shot","TRUE","GPT-3.5"
"64","6000070_Lakisha","generic","probing","Zero-shot","FALSE","GPT-3.5"
"65","6000070_Lakisha","probing","probing","Zero-shot","TRUE","GPT-3.5"
"66","6000070_Lakisha","focus","probing","Zero-shot","FALSE","GPT-3.5"
"67","6000070_Lakisha","probing","telling","Zero-shot","FALSE","GPT-3.5"
"68","6000070_Lakisha","probing","probing","Zero-shot","TRUE","GPT-3.5"
"69","6000070_Lakisha","probing","telling","Zero-shot","FALSE","GPT-3.5"
"70","6000070_Lakisha","focus","focus","Zero-shot","TRUE","GPT-3.5"
"71","6000070_Lakisha","focus","probing","Zero-shot","FALSE","GPT-3.5"
"72","6000070_Lakisha","telling","probing","Zero-shot","FALSE","GPT-3.5"
"73","6000070_Lakisha","telling","telling","Zero-shot","TRUE","GPT-3.5"
"74","6000009_Michael","generic","focus","Zero-shot","FALSE","GPT-3.5"
"75","6000009_Michael","focus","probing","Zero-shot","FALSE","GPT-3.5"
"76","6000009_Michael","generic","telling","Zero-shot","FALSE","GPT-3.5"
"77","6000010_Luca","generic","focus","Zero-shot","FALSE","GPT-3.5"
"78","6000010_Luca","probing","probing","Zero-shot","TRUE","GPT-3.5"
"79","6000010_Luca","probing","probing","Zero-shot","TRUE","GPT-3.5"
"80","6000010_Luca","focus","focus","Zero-shot","TRUE","GPT-3.5"
"81","6000010_Luca","focus","telling","Zero-shot","FALSE","GPT-3.5"
"82","6000010_Luca","probing","probing","Zero-shot","TRUE","GPT-3.5"
"83","6000010_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"84","6000010_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"85","6000010_Luca","focus","probing","Zero-shot","FALSE","GPT-3.5"
"86","6000010_Luca","telling","probing","Zero-shot","FALSE","GPT-3.5"
"87","6000063_Ronny","generic","focus","Zero-shot","FALSE","GPT-3.5"
"88","6000063_Ronny","probing","probing","Zero-shot","TRUE","GPT-3.5"
"89","6000063_Ronny","probing","probing","Zero-shot","TRUE","GPT-3.5"
"90","6000063_Ronny","probing","focus","Zero-shot","FALSE","GPT-3.5"
"91","6000063_Ronny","probing","focus","Zero-shot","FALSE","GPT-3.5"
"92","6000063_Ronny","probing","focus","Zero-shot","FALSE","GPT-3.5"
"93","6000063_Ronny","probing","focus","Zero-shot","FALSE","GPT-3.5"
"94","6000063_Ronny","probing","focus","Zero-shot","FALSE","GPT-3.5"
"95","6000063_Ronny","focus","generic","Zero-shot","FALSE","GPT-3.5"
