"","exchange_idx","student_text","teacher_text","ground_truth","prediction","correct","Technique","model"
"1",1,"2 times 20 is 40.","Well, think about this.  What?","Low","Low","True","Zero-shot","GPT-3.5"
"2",2,"Well, I don’t know how to explain it.","Go ahead and try.","Low","Mid","False","Zero-shot","GPT-3.5"
"3",3,"Ready?  Set?  Go.  [Dice being thrown].  [Students working on game].","Don’t forget, we have addition and subtraction, also. Addition.  Subtraction.  Multiplication.  Divi","Low","Low","True","Zero-shot","GPT-3.5"
"4",4,"The other is the 3.","Since we have a 4 right here, we know we can’t have what right here?","Low","Low","True","Zero-shot","GPT-3.5"
"5",5,"I know what I’m doing.","You can kind of have freedom on it.  I’m not telling you specifics. I’m gonna put your criteria up h","Low","Low","True","Zero-shot","GPT-3.5"
"6",6,"I did it like that.","That’s a lot of people.","Low","Low","True","Zero-shot","GPT-3.5"
"7",7,"After you do eight, you do four, right?","What, honey?","Low","Low","True","Zero-shot","GPT-3.5"
"8",8,"If we know how much the other players -","Yeah.","Low","Low","True","Zero-shot","GPT-3.5"
"9",9,"I don’t know what you all was talking about.","And put the date on there. You fill in the date already he sure is. They told you it gonna be done e","Low","Low","True","Zero-shot","GPT-3.5"
"10",10,"That’s what I’m going to do.","All right, guys.  Shh.  Shh.  Tonight, you’re going to work on practice book 22.4.  all of it.  All ","Low","Low","True","Zero-shot","GPT-3.5"
"11",11,"List all of the factors of 96.","Student K?","Low","Low","True","Zero-shot","GPT-3.5"
"12",12,"I earned $245.00 in two weeks.  How much did I earn each day?","Student C?","Low","Low","True","Zero-shot","GPT-3.5"
"13",13,"An obtuse angle is more than 90 degrees.","Why don’t we put our pencils down and just do some brainstorming, and then we’ll go back through it?","Low","Low","True","Zero-shot","GPT-3.5"
"14",14,"4 hours and 5 minutes.","And we put a zero there.  Student Z, we put a zero there ‘cause it’s our first 5.  If you did it, go","Low","Low","True","Zero-shot","GPT-3.5"
"15",15,"The same thing at the bottom?","Student D, multiply 12 times four.  Here.","Low","Low","True","Zero-shot","GPT-3.5"
"16",16,"I was writing let me see.","Parallel sides, right angles, squares, rhombus.","Low","Low","True","Zero-shot","GPT-3.5"
"17",17,"I didn’t get that.","Now this is – I’m saying this assuming that was your answer. That’s just an example.","Low","Mid","False","Zero-shot","GPT-3.5"
"18",18,"I don’t remember that.","And when we played Close to 100, which strategy did we discover?  What do we try to make in the tens","Low","Mid","False","Zero-shot","GPT-3.5"
"19",19,"Small number on top means it’s time to stop.  Borrow from the left.  It won’t be called theft.  Cros","Oh, I’m so excited.  Sixteen minus seven equals, Student D?","Low","Low","True","Zero-shot","GPT-3.5"
"20",20,"I’m doing the work. I’m doing the work on this.","So addition asks for a total and this says how many right. So I’m noticing the language as just not ","Low","High","False","Zero-shot","GPT-3.5"
"21",21,"So you want us to go to number four?","12:20, and then all of a sudden you went to 1:00.  That’s not an hour.  That’s 40 minute.  So in ord","Low","Low","True","Zero-shot","GPT-3.5"
"22",22,"So, is this my number or –","He’s gonna finish rolling all the way across.  Keep going. You’re gonna roll the next two.  You all ","Low","Low","True","Zero-shot","GPT-3.5"
"23",23,"Do we do improper and a mixed number?","I like what I’m seeing.  How we doing?","Low","Low","True","Zero-shot","GPT-3.5"
"24",24,"It’s not a prime number,","What is 21? Seven times three, so that means 21 is?","Low","Low","True","Zero-shot","GPT-3.5"
"25",25,"Or from greatest to least.","Student J.","Low","Low","True","Zero-shot","GPT-3.5"
"26",26,"1 out of 3. I saw what is that? And another 1 out of 3.","And if you all want to have him actually build some of the ones after he finishes with that page you","Low","Low","True","Zero-shot","GPT-3.5"
"27",27,"Why does it have a comma?","Read this number for me, Student K.","Low","Low","True","Zero-shot","GPT-3.5"
