"","Technique","model","category","accuracy","precision","recall","f1"
"1","Active Prompting","GPT-3.5","admiration",0.333333333333333,0.666666666666667,0.333333333333333,0.444444444444444
"2","Active Prompting","GPT-3.5","amusement",0.333333333333333,0.5,0.333333333333333,0.4
"3","Active Prompting","GPT-3.5","anger",0.333333333333333,0.5,0.333333333333333,0.4
"4","Active Prompting","GPT-3.5","annoyance",0,0,0,NA
"5","Active Prompting","GPT-3.5","approval",0,0,0,NA
"6","Active Prompting","GPT-3.5","caring",0.2,1,0.2,0.333333333333333
"7","Active Prompting","GPT-3.5","confusion",0.2,0.2,0.2,0.2
"8","Active Prompting","GPT-3.5","curiosity",0,0,0,NA
"9","Active Prompting","GPT-3.5","desire",0,NA,0,NA
"10","Active Prompting","GPT-3.5","disappointment",0,0,0,NA
"11","Active Prompting","GPT-3.5","disapproval",0,0,0,NA
"12","Active Prompting","GPT-3.5","disgust",0.2,0.5,0.2,0.285714285714286
"13","Active Prompting","GPT-3.5","embarrassment",0,NA,0,NA
"14","Active Prompting","GPT-3.5","excitement",0.2,1,0.2,0.333333333333333
"15","Active Prompting","GPT-3.5","fear",0.2,0.5,0.2,0.285714285714286
"16","Active Prompting","GPT-3.5","gratitude",0.6,1,0.6,0.75
"17","Active Prompting","GPT-3.5","grief",0,NA,0,NA
"18","Active Prompting","GPT-3.5","joy",0.2,0.25,0.2,0.222222222222222
"19","Active Prompting","GPT-3.5","love",0.2,0.5,0.2,0.285714285714286
"20","Active Prompting","GPT-3.5","nervousness",0,NA,0,NA
"21","Active Prompting","GPT-3.5","neutral",0,0,0,NA
"22","Active Prompting","GPT-3.5","optimism",0,NA,0,NA
"23","Active Prompting","GPT-3.5","pride",0,NA,0,NA
"24","Active Prompting","GPT-3.5","realization",0,0,0,NA
"25","Active Prompting","GPT-3.5","relief",0,NA,0,NA
"26","Active Prompting","GPT-3.5","remorse",0.2,1,0.2,0.333333333333333
"27","Active Prompting","GPT-3.5","sadness",0.4,0.4,0.4,0.4
"28","Active Prompting","GPT-3.5","surprise",0.4,1,0.4,0.571428571428572
"29","Active Prompting","GPT-3.5","multiclass",0.2,0.0454545454545455,0.8,0.0860215053763441
"30","Active Prompting","GPT-5","admiration",0,NA,0,NA
"31","Active Prompting","GPT-5","amusement",0.5,0.272727272727273,0.5,0.352941176470588
"32","Active Prompting","GPT-5","anger",0,NA,0,NA
"33","Active Prompting","GPT-5","annoyance",0,0,0,NA
"34","Active Prompting","GPT-5","approval",0,0,0,NA
"35","Active Prompting","GPT-5","caring",0.2,0.5,0.2,0.285714285714286
"36","Active Prompting","GPT-5","confusion",0.2,0.5,0.2,0.285714285714286
"37","Active Prompting","GPT-5","curiosity",0,0,0,NA
"38","Active Prompting","GPT-5","desire",0,NA,0,NA
"39","Active Prompting","GPT-5","disappointment",0,0,0,NA
"40","Active Prompting","GPT-5","disapproval",0,0,0,NA
"41","Active Prompting","GPT-5","disgust",0,NA,0,NA
"42","Active Prompting","GPT-5","embarrassment",0,0,0,NA
"43","Active Prompting","GPT-5","excitement",0.4,0.666666666666667,0.4,0.5
"44","Active Prompting","GPT-5","fear",0.2,0.5,0.2,0.285714285714286
"45","Active Prompting","GPT-5","gratitude",0.4,0.666666666666667,0.4,0.5
"46","Active Prompting","GPT-5","grief",0,NA,0,NA
"47","Active Prompting","GPT-5","joy",0,NA,0,NA
"48","Active Prompting","GPT-5","love",0.4,0.5,0.4,0.444444444444444
"49","Active Prompting","GPT-5","nervousness",0,NA,0,NA
"50","Active Prompting","GPT-5","neutral",0,0,0,NA
"51","Active Prompting","GPT-5","optimism",0,0,0,NA
"52","Active Prompting","GPT-5","pride",0,NA,0,NA
"53","Active Prompting","GPT-5","realization",0.2,0.25,0.2,0.222222222222222
"54","Active Prompting","GPT-5","relief",0,NA,0,NA
"55","Active Prompting","GPT-5","remorse",0.2,1,0.2,0.333333333333333
"56","Active Prompting","GPT-5","sadness",0.4,1,0.4,0.571428571428572
"57","Active Prompting","GPT-5","surprise",0.4,0.5,0.4,0.444444444444444
"58","Active Prompting","GPT-5","multiclass",0,0.032967032967033,0.6,0.0625
"59","Active Prompting_APO10","GPT-3.5","admiration",0.333333333333333,0.5,0.333333333333333,0.4
"60","Active Prompting_APO10","GPT-3.5","amusement",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"61","Active Prompting_APO10","GPT-3.5","anger",0.166666666666667,0.5,0.166666666666667,0.25
"62","Active Prompting_APO10","GPT-3.5","annoyance",0,0,0,NA
"63","Active Prompting_APO10","GPT-3.5","approval",0,0,0,NA
"64","Active Prompting_APO10","GPT-3.5","caring",0.2,0.5,0.2,0.285714285714286
