"","sentence_idx","sentence","ground_truth","prediction","correct","Technique","model"
"1",1,"if someone is n't know eating is very important for growth bons and brian or general for body it is ",1,2,"False","Zero-shot","GPT-3.5"
"2",2,"It is rather than to give them strong medicins tnl them.",1,2,"False","Zero-shot","GPT-3.5"
"3",3,"It; s ture also teachers are not expet.",1,1,"True","Zero-shot","GPT-3.5"
"4",4,"The listening part give usinformation Vulcan which was found on Mars and also there was found a bact",1,2,"False","Zero-shot","GPT-3.5"
"5",5,"in the fact the matter that alot of acadmic subject can not be used seperatley.",1,2,"False","Zero-shot","GPT-3.5"
"6",6,"the Gem cuts, the Stars kines , th Nizecks, the Earths sheakes, and the practeses cinteces .",1,1,"True","Zero-shot","GPT-3.5"
"7",7,"For example , ideas some phisician in treatment the same disease different .",1,2,"False","Zero-shot","GPT-3.5"
"8",8,"because if you are want know somebody is anything?",1,2,"False","Zero-shot","GPT-3.5"
"9",9,"Another reason is the person should have a lot of knowledge in diffrent subjects is to know how to c",1,2,"False","Zero-shot","GPT-3.5"
"10",10,"those three factors contribute to the ""loss of interest"" fro; younf",1,2,"False","Zero-shot","GPT-3.5"
"11",11,"cost heru mo.",1,1,"True","Zero-shot","GPT-3.5"
"12",12,"Next to, can you know what the happend in the world and when you learn fact can you learn your kids ",1,1,"True","Zero-shot","GPT-3.5"
"13",13,"Throughts our lives needs talk about our familys.",1,2,"False","Zero-shot","GPT-3.5"
"14",14,"students can gots the goods marks than they clear the concepts of the evertopics.",1,2,"False","Zero-shot","GPT-3.5"
"15",15,"The second points is about the evidence, according the the passage the evidence that associates the ",1,2,"False","Zero-shot","GPT-3.5"
"16",16,"However the lecture, the scientiests opposite that asteroid is recovered.",1,2,"False","Zero-shot","GPT-3.5"
"17",17,"Study subjects reltensip betwne another jope and demonstrate andarstanding the career or jope.",1,1,"True","Zero-shot","GPT-3.5"
"18",18,"Reasons is pay for them and teach the more than other institute.",1,2,"False","Zero-shot","GPT-3.5"
"19",19,"the thing i exactly now i never will never stop .",1,2,"False","Zero-shot","GPT-3.5"
"20",20,"This priedo not enough to evaluate the student.",1,2,"False","Zero-shot","GPT-3.5"
"21",21,"A yonger part when you hasn't big problem and older part that slowly increase inside you when you be",1,1,"True","Zero-shot","GPT-3.5"
"22",22,"The last one is the proposed limit on menhadenhresting could mean the reduction of huThis propleme i",1,2,"False","Zero-shot","GPT-3.5"
"23",23,"So the thinking will be ghanged more than the people who live in that day they will try to but ther ",1,1,"True","Zero-shot","GPT-3.5"
"24",24,"The speaks says some drivers always driver with talk on phones.",1,2,"False","Zero-shot","GPT-3.5"
"25",25,"whlie you will be help each other of work together after gratuation from university.",1,2,"False","Zero-shot","GPT-3.5"
"26",26,"you have to teach your child since he or she was antel they graw up.",1,2,"False","Zero-shot","GPT-3.5"
"27",27,"you image the time , that you are deep in television with loud laugh.",1,2,"False","Zero-shot","GPT-3.5"
