Annotator,ID,Text,Label
groundtruth,1,"However, now many car companies struggle to develop an eco-car, such as Prius of Toyota.",4
groundtruth,2,It was more fun to explore somewhere new outside the places we knew well.,4
groundtruth,3,So the school try learning the students a bit in every science exist.,2
groundtruth,4,After retirement they may not be having a lot of money to enjoy their life in the way they would like to.,3
groundtruth,5,"On the other hand, although in Turkey the public transportation is getting developed especially in the two big cities, that is, Ankara and istanbul, it is still nothing compared to Sweden.",4
groundtruth,6,Throughts our lives needs talk about our familys.,1
groundtruth,7,if you want a product you give create a beautiful image around it if you want sell it.,2
groundtruth,8,Because there is wroth visiting space.,2
groundtruth,9,A person with broad knowlege will help him to renovate.,2
groundtruth,10,the school teachers there the one who take the future of youg genaration so we have to give them to get the better knowledge.,2
groundtruth,11,"Then, I thought it was so grotesc, becouse human ate a human, I was so supraised.",3
groundtruth,12,"For example, if the city says that 8am~9 am is the most busiest time, than worker would argues that they drive a bit later",3
groundtruth,13,"By myself, I can take my own rythm",4
groundtruth,14,So the thinking will be ghanged more than the people who live in that day they will try to but ther thinking on the life to make the peple see it and like it .,1
groundtruth,15,A yonger part when you hasn't big problem and older part that slowly increase inside you when you became a people with family and with other interes form when he was young when the problem could be only the school or the girlfriend or other little proble respect the proble that you know when you became older.,1
groundtruth,16,"When your father says, ""You should cut the grass in the front yard."" if you have property in your mind, you will do that with happy.",3
groundtruth,17,"Actually, he think about that people can hide their brain activity and they will be able to cheat on these tests but it isn't important.",3
groundtruth,18,"In early industry, a lot of warker worked together.",3
groundtruth,19,"While, according to listening passage it seems fair for people te increase the tax price because they will be able to save money for other taxes they pay.",3
groundtruth,20,Reasons is pay for them and teach the more than other institute.,1
groundtruth,21,Because of he think back to his happen which one is make worst to him and he try to fix that behavior.,1
groundtruth,22,But according a recent investgation showed that older people think staying at home is suit for them.,2
groundtruth,23,"This because their knowledge may not be worthy for the future, staying in one positon doesn't allow to go ahead and setting new goals motivates more them for their lifes.",2
groundtruth,24,Other one is a gambler which means that people always try the new things and take risks.,3
