"","comment_id","text","human_emotions","model_emotions","exact_match","Technique","model"
"1","efeke1r","[NAME] damn it [NAME].","anger, annoyance","anger","False","Zero-shot","GPT-3.5"
"2","eegefud","My husband and I are expecting a little boy. We will refuse to do the whole ""man up"" thing. No toxic masculinity here hopefully lol","desire, optimism","approval, disapproval","False","Zero-shot","GPT-3.5"
"3","ef2jexa","Yeah I’ve been watching these videos and they are great. Really well done.","admiration, gratitude","admiration","False","Zero-shot","GPT-3.5"
"4","ed97gce","Our love is like, a violent game between children baby.","approval, love","disgust","False","Zero-shot","GPT-3.5"
"5","eejam6j","This episode also had the segment where a paralized [NAME] communicates by farting. So, yes it is the worst. Lisa Goes Gaga is a close second.","anger, disgust","disgust","False","Zero-shot","GPT-3.5"
"6","edgyr8b","Good timing with the two breweries having just opened up. Gotta check them out when I'm in that neck of the woods again.","admiration","excitement","False","Zero-shot","GPT-3.5"
"7","ed7uin2","Super cool to see","admiration","admiration","True","Zero-shot","GPT-3.5"
"8","efbxjom","This was a beautiful moment for the FT coming together","admiration","admiration","True","Zero-shot","GPT-3.5"
"9","eev528h","Must've been some damn good fries...","admiration","admiration","True","Zero-shot","GPT-3.5"
"10","ee3ggkk","Mr. Met is a legend! Outrageous. Now... If you wanna talk about hateworthy mascots... The Phanatic fits the bill.","admiration","admiration, disapproval","False","Zero-shot","GPT-3.5"
"11","eee8os5","Great, petty revenge instead of making your GF happy by removing [NAME] from her life, nice job!","admiration","disapproval","False","Zero-shot","GPT-3.5"
"12","eev3ial","The US version of The Office isn’t even the best version of The Office, never mind the best comedy ever.","amusement","disapproval","False","Zero-shot","GPT-3.5"
"13","ed0p0gi","> Mother wasn't amused and I was forced to smile and bare it Wow, I would hate taking nude family portraits","amusement","disgust","False","Zero-shot","GPT-3.5"
"14","edj7ya6","[NAME] got a serious case of the giggles today.","amusement","amusement","True","Zero-shot","GPT-3.5"
"15","ee3dm5e","Busy night for you lol","amusement","amusement","True","Zero-shot","GPT-3.5"
"16","ef0zbtx","because it’s funny","amusement","amusement","True","Zero-shot","GPT-3.5"
"17","edg9z3r","This video is funny but every time I watch it I get so mad at the guys filming and their belittling comments!","amusement","amusement, anger","False","Zero-shot","GPT-3.5"
"18","ee64dsq","It's a statistically slightly worse ICR, take that as you will.","anger","neutral","False","Zero-shot","GPT-3.5"
"19","eedvd5c","Those inflated monopoly prices go back into Ontario coffers for services like roads and schools! How dare you question them. /s","anger","anger","True","Zero-shot","GPT-3.5"
"20","edslv30","“What the FUCK is this [NAME], explain!”","anger","anger","True","Zero-shot","GPT-3.5"
"21","eesmsbe","Shithole universe i mean.","anger","disgust","False","Zero-shot","GPT-3.5"
"22","eeblnfc","How dare you disparage a 3D printed JV riding a goddamn raptor","anger","anger","True","Zero-shot","GPT-3.5"
"23","edlvsnk","Fuck isn't it nice to have a [NAME] on the team?","anger","admiration","False","Zero-shot","GPT-3.5"
"24","ef6tx1q","This was literally me!","annoyance","excitement","False","Zero-shot","GPT-3.5"
"25","edalg04","And how often do you hear about feminists fighting for these women’s rights? Never. Feminists are cowards.","annoyance","anger, disapproval","False","Zero-shot","GPT-3.5"
"26","edrf7wa","What a poor woman who only wanted to tell someone what to do.","annoyance","neutral","False","Zero-shot","GPT-3.5"
"27","ee3ns48","I’ve seen 62 to 8 in 12 hours up north. Weather is crazy stuff.","annoyance","neutral","False","Zero-shot","GPT-3.5"
"28","edfk31g","Why don’t people just call the cops and give them the video?","annoyance","confusion","False","Zero-shot","GPT-3.5"
"29","edyjuwo","What? Shut up?","annoyance","annoyance","True","Zero-shot","GPT-3.5"
"30","efdbuxe","I like to answer ""CALLER 7, YOU ARE LIVE ON THE AIR!""","approval","amusement","False","Zero-shot","GPT-3.5"
"31","ef16p4j","35-55 a week. no health restrictions, just eat what I feel like","approval","disapproval","False","Zero-shot","GPT-3.5"
"32","eeah494","Im having a lot of fun, please continue the show","approval","amusement, excitement","False","Zero-shot","GPT-3.5"
"33","eezz1zn","hes doing it for his kid","approval","caring","False","Zero-shot","GPT-3.5"
"34","ee2a3l1","I I'm so honored","approval","admiration","False","Zero-shot","GPT-3.5"
"35","ednicm9","TBH I think they would've been better without the hot dog","approval","disapproval","False","Zero-shot","GPT-3.5"
"36","efe691k","That's the opposite of a bad thing.","caring","approval","False","Zero-shot","GPT-3.5"
"37","ee2yef5","Play something else and come back later. You’re burning yourself out","caring","neutral","False","Zero-shot","GPT-3.5"
"38","ef2ssjo","“No, you cannot get better” LOL","caring","amusement","False","Zero-shot","GPT-3.5"
"39","edswvrb","At the end of the day you still have to let him know though. There is nothing embarrassing about frugality!","caring","approval","False","Zero-shot","GPT-3.5"
"40","eebuqgf","He burnt out. Give it some time. Other option is he never really cared, but I find that unlikely. Also maybe life just happened.","caring","disappointment","False","Zero-shot","GPT-3.5"
"41","eeq2jyu","If everyone else can figure this out, then I don't see why it's so implausible for the US.","confusion","confusion","True","Zero-shot","GPT-3.5"
"42","ef0t4sq","Alicorn then maybe?","confusion","curiosity","False","Zero-shot","GPT-3.5"
"43","edijcfx","Ghostbusters 2: ghost-bustier ?","confusion","amusement","False","Zero-shot","GPT-3.5"
"44","edsxcax","Kinda like how he wants to “out” kids?","confusion","disapproval","False","Zero-shot","GPT-3.5"
"45","ee87aji","I am confusion.","confusion","confusion","True","Zero-shot","GPT-3.5"
"46","edkd7sr","That was a joke? And a joke you've been waiting to use for 10+ years?","curiosity","annoyance","False","Zero-shot","GPT-3.5"
"47","edi37q6","What is everybody obsession with trading away young players in this sub?","curiosity","annoyance","False","Zero-shot","GPT-3.5"
"48","edt3kh1","Whaaaat? I thought it was a perfectly normal childhood disease that posed no threat whatsoever! Why is she scared?","curiosity","confusion, fear","False","Zero-shot","GPT-3.5"
"49","ed58cxg","I am for socialised health care but how exactly would that solve long wait times?","curiosity","confusion","False","Zero-shot","GPT-3.5"
"50","ee34lij","I have an honest question for you sir. Wouldn't a person who went through that hell be more humble and understanding than someone who didn't?","curiosity","curiosity","True","Zero-shot","GPT-3.5"
"51","ede0g63","Goodnight and good luck.","desire","optimism","False","Zero-shot","GPT-3.5"
"52","edfrinq","I wish I was there lol","desire","desire","True","Zero-shot","GPT-3.5"
"53","edz4hwv","What did he get help with?","desire","curiosity","False","Zero-shot","GPT-3.5"
"54","edv6zg7","You should eat real cake today too!","desire","approval, amusement","False","Zero-shot","GPT-3.5"
"55","edfh7lm","I can watch test cricket, this would be no problems. Honestly though I'm annoyed I missed it, hopefully there's a re run","desire","annoyance","False","Zero-shot","GPT-3.5"
